Na,K,Ca,Mg,Ph,Moisture,Cost,Demand,Crop
19,139,36,35,5,13,2734,2,Corn
14,134,35,43,6,16,3477,2,Fescue
17,136,32,42,4,14,3741,4,Rice
13,127,40,25,5,23,4971,2,Grain Sorghum
28,123,39,28,4,10,2905,1,Grain Sorghum
29,127,37,34,5,21,3510,1,Cotton
28,148,33,47,4,24,3228,1,Watermelon
31,125,30,33,4,26,2604,1,Fescue
13,133,37,34,5,26,4819,3,Corn
18,126,33,41,4,29,4248,4,Cotton
30,120,33,26,4,12,3799,5,Grain Sorghum
19,136,30,27,4,27,2940,4,Soybeans
11,136,39,46,4,10,2674,5,Peanuts
13,133,36,40,4,19,3426,4,Corn
17,120,30,46,4,30,4634,4,Watermelon
39,132,36,47,6,30,4416,5,Soybeans
29,136,38,32,4,18,4642,3,Peanuts
32,149,40,42,5,22,3499,5,Bluegrass
38,122,36,33,5,17,4082,1,Barley
10,147,39,43,5,26,3919,5,Watermelon
31,125,36,27,4,30,4449,4,Bluegrass
35,140,38,50,6,10,3811,3,Wheat
32,128,34,39,6,25,4357,5,Bluegrass
19,132,35,46,5,11,4460,5,Corn
31,148,32,50,4,30,2825,2,Grain Sorghum
33,145,34,35,5,17,4957,2,Barley
37,147,34,39,6,17,4665,2,Soybeans
13,144,37,27,6,16,3309,3,Bluegrass
36,139,32,49,6,28,3336,4,Rice
12,145,30,36,5,12,4174,4,Bluegrass
24,131,31,44,6,29,3277,5,Bluegrass
15,126,34,31,4,28,4116,2,Grain Sorghum
13,142,38,30,5,15,2871,5,Wheat
34,127,36,38,6,25,4273,2,Watermelon
11,141,36,37,4,23,4318,1,Rice
19,131,39,41,6,19,3821,5,Corn
20,121,36,33,4,23,4247,4,Barley
22,148,40,25,5,13,2660,1,Corn
37,145,32,50,5,22,4440,1,Corn
38,147,40,26,4,18,3337,1,Peanuts
34,132,34,37,6,11,4858,1,Cotton
38,135,37,45,4,12,4187,3,Fescue
13,135,36,42,6,26,2718,4,Wheat
13,148,36,35,4,18,3653,5,Cotton
15,133,31,45,6,14,3917,3,Cotton
25,147,33,41,4,29,4672,1,Barley
38,141,30,39,6,30,3287,2,Barley
34,145,30,38,4,13,2681,5,Peanuts
32,127,31,38,6,24,3168,5,Barley
23,139,31,38,5,30,2972,2,Soybeans
33,146,38,35,5,14,3131,5,Corn
11,126,35,42,4,26,4059,5,Peanuts
34,140,40,43,5,19,3524,4,Grain Sorghum
33,129,34,29,5,16,3829,2,Fescue
30,129,39,25,5,26,4374,3,Barley
27,142,34,46,4,26,3885,4,Barley
30,143,39,29,4,13,2733,1,Watermelon
19,123,38,42,5,27,4267,4,Watermelon
33,121,38,25,6,30,2937,4,Soybeans
15,129,34,25,6,30,3633,3,Cotton
34,150,38,38,4,13,2860,3,Cotton
22,121,32,46,6,30,3020,5,Cotton
31,136,35,32,6,16,4214,3,Cotton
31,128,34,34,4,26,4680,4,Corn
29,144,31,31,4,20,3911,3,Rice
35,147,31,30,6,10,4203,2,Bluegrass
21,136,40,37,4,12,3171,1,Grain Sorghum
23,137,34,33,5,21,3082,3,Wheat
25,132,33,31,4,10,3660,4,Barley
33,131,40,36,5,24,2662,2,Soybeans
28,136,32,34,6,17,2827,5,Wheat
16,131,32,42,6,19,2764,5,Corn
22,150,35,26,5,17,3536,3,Barley
17,139,36,50,5,15,4952,4,Peanuts
23,126,39,45,6,19,2987,2,Wheat
33,121,37,31,6,23,4967,3,Fescue
36,135,38,38,4,17,4794,3,Bluegrass
33,123,35,49,6,21,4066,1,Bluegrass
17,131,39,41,6,26,4944,4,Rice
37,131,39,37,6,12,2679,5,Grain Sorghum
13,132,40,29,5,29,4163,4,Bluegrass
23,135,32,33,4,27,3370,3,Cotton
32,148,35,48,5,22,3708,3,Rice
11,138,32,45,5,20,3506,4,Wheat
27,130,30,46,4,26,3590,5,Rice
35,121,40,40,6,28,3098,1,Soybeans
26,141,32,35,6,17,4751,4,Cotton
37,130,32,49,4,26,3681,1,Watermelon
29,148,39,48,4,24,3317,2,Cotton
29,147,38,27,4,12,3189,4,Rice
14,138,32,36,4,24,3744,5,Grain Sorghum
27,148,37,43,6,11,2803,3,Grain Sorghum
34,150,32,36,4,17,4356,2,Wheat
17,145,30,37,4,27,4578,4,Watermelon
24,148,35,46,5,27,4040,3,Soybeans
36,133,33,38,5,17,3829,4,Grain Sorghum
18,138,39,36,5,27,4524,2,Bluegrass
15,146,38,40,6,19,4784,4,Bluegrass
26,120,36,38,6,26,2516,5,Peanuts
10,122,35,43,5,24,4720,1,Soybeans
36,138,35,25,6,17,4653,5,Grain Sorghum
36,147,30,45,5,21,4957,2,Soybeans
17,127,39,26,6,25,3792,3,Corn
12,127,34,48,6,26,3133,4,Wheat
29,134,31,48,5,15,4467,5,Grain Sorghum
15,130,39,44,6,22,3667,3,Soybeans
38,144,31,40,6,14,2811,2,Grain Sorghum
26,138,32,37,6,13,2621,5,Soybeans
24,145,40,37,4,20,2952,5,Bluegrass
15,134,35,42,4,26,2891,5,Rice
25,135,37,34,4,21,4989,3,Rice
12,123,32,44,4,11,3506,4,Fescue
29,122,32,30,6,29,3131,4,Watermelon
16,131,35,36,5,27,4069,1,Corn
11,150,36,46,6,20,2553,1,Watermelon
16,144,36,27,4,10,3654,4,Soybeans
40,138,33,28,4,12,3019,5,Watermelon
27,143,32,36,6,12,2697,3,Fescue
17,122,33,32,5,23,4218,2,Wheat
16,132,40,38,6,22,3707,2,Bluegrass
18,139,37,39,6,25,2864,4,Bluegrass
12,144,33,34,6,22,4876,3,Bluegrass
10,128,34,38,5,28,3831,3,Fescue
40,123,38,34,6,23,3484,1,Watermelon
23,130,33,27,6,25,3093,2,Rice
38,147,40,25,6,11,2913,2,Rice
20,126,34,43,4,30,3585,2,Wheat
11,125,31,26,6,11,2675,5,Fescue
17,139,35,40,6,12,3470,1,Grain Sorghum
23,150,36,43,6,13,4148,1,Grain Sorghum
37,148,38,46,6,14,3658,1,Fescue
26,137,39,43,4,14,4166,5,Barley
19,143,36,29,6,23,3736,2,Fescue
15,129,37,41,5,11,4365,4,Soybeans
38,132,32,50,5,26,2530,3,Rice
36,140,31,26,4,30,4913,5,Corn
21,123,31,47,6,15,4639,2,Wheat
32,120,34,43,6,15,3418,1,Soybeans
40,148,39,33,5,30,3213,1,Wheat
36,123,30,36,5,23,3774,1,Bluegrass
13,133,36,42,6,18,2858,2,Rice
22,129,30,25,6,30,4544,1,Fescue
22,140,32,49,4,25,3118,2,Bluegrass
21,123,30,25,5,25,4816,3,Barley
21,149,34,48,4,16,4975,5,Watermelon
21,128,33,48,6,15,4950,3,Watermelon
34,148,30,34,5,11,3644,3,Soybeans
38,127,32,37,4,21,4849,1,Barley
17,142,38,33,6,14,2815,1,Corn
11,148,40,42,4,11,2736,5,Soybeans
40,146,36,45,5,30,2558,4,Bluegrass
16,125,36,43,4,10,4641,2,Watermelon
10,134,30,32,5,10,3808,3,Peanuts
23,124,33,42,4,28,4142,2,Peanuts
32,144,40,43,4,19,3709,5,Bluegrass
38,136,35,40,5,23,2742,3,Grain Sorghum
29,123,37,41,5,16,3401,2,Watermelon
29,135,36,32,6,16,3015,1,Barley
29,125,31,43,6,23,3966,4,Bluegrass
14,134,31,37,4,16,2659,5,Rice
39,126,38,28,6,18,3430,2,Rice
38,136,37,26,6,12,2706,3,Rice
14,130,31,41,4,29,2650,5,Barley
30,121,31,32,4,29,4155,1,Fescue
27,124,37,50,6,20,3219,4,Cotton
37,132,32,32,5,10,3149,1,Peanuts
35,140,35,50,5,17,3188,2,Peanuts
15,139,39,40,6,23,4395,3,Barley
32,140,36,37,6,29,3295,2,Corn
10,130,35,28,6,25,3696,5,Grain Sorghum
28,132,34,48,6,21,3995,4,Cotton
34,143,35,47,6,24,3647,4,Fescue
22,147,40,42,5,28,3330,3,Watermelon
16,137,32,44,4,16,4473,4,Soybeans
24,148,33,42,5,10,4729,3,Peanuts
36,124,35,42,4,30,2638,4,Grain Sorghum
12,132,31,35,6,14,4354,4,Bluegrass
15,133,36,34,4,17,4878,2,Fescue
10,133,35,34,6,12,4983,5,Cotton
24,141,38,48,5,30,2705,3,Soybeans
18,144,35,38,4,30,4725,1,Barley
39,149,31,32,5,25,4923,4,Fescue
11,133,38,28,6,16,2671,4,Wheat
40,135,39,44,6,10,3278,1,Fescue
38,138,39,44,4,27,4104,1,Fescue
17,143,36,31,4,13,3448,2,Watermelon
27,122,34,47,5,17,3132,4,Barley
25,126,34,45,5,16,4473,1,Peanuts
37,125,36,29,5,10,2690,2,Grain Sorghum
22,133,33,48,6,12,4584,2,Peanuts
29,148,39,42,4,17,4886,2,Fescue
27,138,37,28,5,19,3953,1,Soybeans
40,148,36,29,4,29,3738,1,Cotton
29,125,34,29,5,14,4280,2,Rice
27,133,36,39,5,22,2844,2,Fescue
18,133,31,34,5,10,4862,1,Grain Sorghum
15,144,34,37,4,25,3586,5,Fescue
11,133,35,42,4,18,3944,5,Bluegrass
32,122,36,45,4,12,4432,4,Watermelon
18,146,39,42,6,21,3707,5,Watermelon
33,132,36,35,5,25,3880,5,Rice
21,125,36,28,4,11,2569,2,Rice
37,124,39,37,6,23,3208,4,Cotton
34,132,35,48,5,24,4189,2,Rice
17,130,31,36,6,15,4686,2,Bluegrass
10,127,33,40,6,25,4852,3,Watermelon
13,140,34,45,5,18,3841,5,Barley
34,141,36,41,5,21,2954,4,Barley
22,137,30,38,6,24,4046,2,Soybeans
17,136,39,42,5,18,4586,3,Watermelon
16,135,31,35,4,26,4063,3,Watermelon
10,120,38,48,4,14,3143,3,Fescue
36,135,32,25,6,14,4588,2,Fescue
21,130,33,45,6,19,3520,2,Wheat
24,139,31,37,4,10,4324,2,Rice
30,138,30,41,4,10,2711,1,Wheat
12,121,40,49,4,29,4420,4,Wheat
23,125,40,49,4,18,2761,5,Fescue
37,125,38,33,6,12,3872,4,Rice
15,143,36,46,5,17,3408,5,Watermelon
15,133,37,38,5,25,4613,1,Bluegrass
29,128,30,41,6,28,4475,1,Soybeans
15,138,40,30,4,14,3010,1,Soybeans
26,144,33,32,5,11,4587,5,Rice
34,148,39,42,5,29,2816,2,Grain Sorghum
18,132,30,48,6,29,3326,3,Fescue
29,123,33,43,5,12,2655,2,Wheat
35,147,33,34,5,10,2974,4,Barley
30,141,30,47,6,26,3689,4,Bluegrass
20,130,38,48,4,17,4242,1,Grain Sorghum
32,143,40,50,6,18,4122,2,Grain Sorghum
21,124,33,48,4,22,2664,4,Fescue
15,133,32,42,5,22,4295,2,Soybeans
14,144,33,46,6,15,2972,5,Fescue
17,144,37,49,4,13,4112,1,Watermelon
34,146,34,38,5,25,3560,1,Corn
24,138,30,48,5,22,4273,2,Peanuts
33,146,35,29,5,22,4161,1,Corn
39,130,37,38,4,13,4272,5,Soybeans
24,139,30,34,6,24,4189,3,Peanuts
10,131,40,27,5,17,2726,3,Peanuts
21,121,38,27,4,25,2721,1,Corn
30,132,32,35,6,22,4334,2,Rice
25,123,30,34,5,27,4540,1,Cotton
37,136,36,37,4,22,4145,5,Peanuts
28,125,31,45,4,26,3968,5,Rice
12,149,38,44,5,18,3990,4,Bluegrass
29,133,40,35,6,16,4570,3,Cotton
21,127,34,41,6,29,4602,5,Watermelon
40,126,40,38,5,22,4259,3,Bluegrass
14,147,35,32,5,22,3856,1,Peanuts
28,132,34,42,4,13,3159,1,Wheat
18,147,36,33,6,21,2516,5,Cotton
34,137,38,33,4,13,4810,4,Grain Sorghum
29,137,37,41,5,27,4500,5,Watermelon
30,126,34,32,5,13,3484,1,Bluegrass
10,148,39,42,6,29,4127,2,Grain Sorghum
11,136,36,33,5,18,4184,1,Barley
23,125,36,28,5,17,3309,2,Wheat
17,135,38,49,4,22,4058,1,Barley
37,138,35,43,4,13,3255,2,Watermelon
21,133,35,41,4,17,3458,5,Peanuts
35,142,30,49,6,22,3302,1,Corn
22,125,38,37,5,21,4583,3,Corn
18,136,32,34,6,15,2818,1,Grain Sorghum
31,141,35,49,6,27,3505,2,Rice
11,126,30,34,5,19,2593,2,Soybeans
29,146,35,30,4,18,2646,4,Grain Sorghum
22,126,34,33,4,28,3905,3,Bluegrass
38,140,35,49,6,26,3810,5,Barley
35,146,34,40,5,10,4590,2,Peanuts
18,139,32,46,6,12,2578,1,Barley
28,140,39,36,5,30,4547,1,Corn
25,143,40,47,6,26,4227,5,Soybeans
30,135,35,32,4,24,3800,2,Grain Sorghum
37,140,39,49,6,15,4411,1,Grain Sorghum
35,139,37,50,6,22,4510,1,Grain Sorghum
39,139,33,39,4,22,3072,1,Corn
27,144,40,34,5,17,4192,2,Bluegrass
20,144,38,33,4,27,4583,3,Grain Sorghum
19,128,38,46,6,23,4961,5,Peanuts
37,132,39,27,6,22,4547,3,Cotton
32,127,33,25,5,16,4858,3,Bluegrass
39,139,37,35,5,25,3602,2,Barley
36,139,36,25,5,14,3545,1,Fescue
10,145,31,36,4,19,2596,3,Fescue
10,140,38,46,4,21,3167,5,Grain Sorghum
40,137,34,36,4,12,2804,2,Soybeans
25,143,36,31,5,10,3358,1,Corn
39,129,34,50,6,16,4878,3,Bluegrass
33,131,38,29,6,18,3300,3,Soybeans
15,150,39,43,6,22,4028,1,Watermelon
13,142,30,35,4,14,4002,5,Rice
11,148,34,37,5,27,4561,1,Corn
12,142,33,30,5,27,3744,5,Barley
15,133,35,41,5,14,4216,4,Peanuts
24,144,38,45,6,27,4623,1,Bluegrass
20,141,40,48,5,19,3438,5,Peanuts
17,130,35,43,4,15,3095,2,Rice
17,145,30,30,6,10,3410,1,Wheat
23,133,36,31,6,10,4538,4,Barley
15,146,36,32,6,19,3177,5,Soybeans
26,134,33,35,6,24,2873,1,Peanuts
29,132,32,46,6,29,3175,5,Wheat
25,132,36,30,6,26,4789,5,Soybeans
15,133,30,32,6,14,3792,5,Soybeans
21,150,30,30,4,25,4570,3,Corn
32,123,37,44,5,26,2627,1,Soybeans
19,140,30,45,5,16,2585,1,Rice
24,138,40,35,5,30,4983,1,Wheat
40,137,34,50,5,12,4529,5,Corn
21,129,34,40,5,14,4379,3,Rice
37,142,36,36,4,24,3849,1,Barley
21,120,37,40,6,18,2694,3,Rice
21,145,33,37,6,19,2920,2,Peanuts
10,120,38,43,5,18,3046,3,Barley
31,130,31,38,5,18,3221,5,Soybeans
16,134,39,25,5,30,3254,3,Bluegrass
27,127,31,48,4,12,3180,1,Fescue
15,144,32,42,6,30,2906,1,Peanuts
23,139,40,41,6,13,3926,1,Watermelon
12,127,36,42,5,15,3557,1,Fescue
30,140,35,27,4,13,3721,4,Corn
14,134,39,33,5,10,2885,2,Cotton
27,134,37,32,5,28,4006,1,Grain Sorghum
11,142,37,41,4,21,4696,3,Watermelon
23,144,39,43,5,29,4753,4,Corn
35,123,39,45,5,21,2903,2,Watermelon
18,148,33,44,5,11,2848,2,Watermelon
10,135,40,49,5,22,4612,2,Bluegrass
34,137,36,44,6,15,4991,5,Grain Sorghum
34,136,37,49,4,25,2676,5,Fescue
33,147,38,28,6,29,2930,4,Fescue
34,128,30,39,6,21,3314,5,Watermelon
24,138,33,46,6,26,3703,5,Rice
17,135,38,36,6,30,4919,3,Rice
18,123,33,28,6,21,2681,5,Corn
29,127,38,40,5,19,3468,2,Soybeans
39,123,30,50,6,18,3897,2,Wheat
16,120,32,34,5,15,4841,2,Peanuts
13,141,35,47,6,28,2950,1,Grain Sorghum
24,132,40,47,5,14,4480,4,Barley
32,143,34,44,6,12,2578,2,Soybeans
19,148,30,34,4,12,3558,3,Wheat
20,145,31,33,4,13,3761,3,Watermelon
12,135,39,25,4,21,4122,3,Soybeans
21,124,33,35,5,11,4828,1,Cotton
12,142,40,33,4,25,2915,3,Corn
19,127,38,27,4,13,3157,5,Barley
19,138,34,42,4,29,3573,1,Wheat
22,142,31,42,4,28,3942,5,Wheat
35,138,34,26,6,29,3242,1,Rice
26,142,30,46,5,16,2534,5,Rice
22,147,32,37,4,18,3752,1,Peanuts
20,132,38,43,5,20,3895,3,Watermelon
19,125,40,47,4,23,4817,4,Bluegrass
29,136,38,29,4,21,4154,5,Fescue
17,126,36,27,5,10,2706,2,Peanuts
20,122,39,33,5,14,3635,1,Corn
19,150,37,25,5,24,3281,1,Grain Sorghum
25,121,33,46,5,13,3715,5,Corn
29,138,38,42,5,26,4862,1,Peanuts
19,150,34,32,5,24,4779,5,Rice
21,149,36,40,6,13,3913,5,Peanuts
35,122,31,47,4,15,4222,2,Fescue
37,145,33,30,6,20,2941,3,Watermelon
15,150,34,43,6,28,3197,5,Corn
28,132,31,25,4,17,3922,5,Fescue
38,138,36,31,5,20,3927,5,Wheat
30,138,40,50,5,13,2613,5,Cotton
33,139,33,44,5,26,2814,5,Rice
27,128,33,26,5,24,3294,2,Corn
23,133,33,26,4,27,4028,5,Peanuts
34,136,36,31,6,19,2910,2,Barley
31,127,34,47,4,26,2670,4,Rice
12,146,36,40,5,15,4128,4,Barley
13,131,40,47,5,22,3558,1,Soybeans
12,146,34,26,4,19,3195,2,Barley
18,141,31,25,6,14,2630,2,Soybeans
39,142,34,38,6,12,4984,2,Bluegrass
23,140,38,45,4,24,4333,1,Corn
34,134,37,39,5,26,3037,3,Wheat
12,126,36,38,6,15,3781,3,Wheat
15,133,33,44,4,14,3978,3,Rice
37,141,36,41,4,12,4630,4,Soybeans
17,129,30,39,4,29,4710,1,Barley
38,122,32,38,6,22,4018,5,Wheat
15,124,39,43,4,24,2784,3,Grain Sorghum
26,133,33,49,4,11,4442,2,Corn
33,143,31,35,5,30,2680,1,Cotton
33,135,36,47,6,13,3841,2,Soybeans
19,127,31,34,4,22,4169,5,Watermelon
23,135,30,31,4,17,2731,5,Bluegrass
14,148,37,37,6,21,4260,1,Barley
17,132,39,46,5,23,4911,1,Rice
26,129,37,43,5,10,4028,1,Barley
28,120,30,32,5,19,4238,4,Grain Sorghum
12,146,35,39,6,21,3401,4,Cotton
19,134,40,43,6,29,3064,2,Grain Sorghum
35,129,38,31,6,11,3386,3,Cotton
38,134,35,42,5,15,3262,1,Grain Sorghum
17,136,31,43,6,10,3498,3,Bluegrass
16,129,38,38,6,25,3811,5,Watermelon
12,120,30,47,6,24,4023,5,Peanuts
20,141,33,28,4,23,2545,5,Grain Sorghum
13,124,33,49,6,10,4615,4,Grain Sorghum
37,138,39,35,5,15,3305,1,Barley
16,128,34,42,4,13,4043,5,Barley
37,130,38,47,5,22,3637,3,Rice
12,142,38,32,6,16,3745,2,Wheat
13,120,31,35,4,17,4601,2,Peanuts
34,142,31,33,5,28,4834,1,Cotton
31,149,34,28,4,21,3555,5,Corn
33,150,40,44,5,19,4593,5,Grain Sorghum
32,129,35,39,6,30,3057,2,Fescue
32,148,33,50,4,29,3728,1,Cotton
18,124,38,32,6,20,3276,5,Rice
37,144,37,36,4,13,4874,1,Corn
18,140,34,31,6,15,4710,4,Soybeans
14,147,30,31,5,12,4854,1,Barley
32,136,36,33,5,28,2911,3,Fescue
16,139,39,45,4,19,3792,2,Soybeans
30,146,30,28,5,17,4780,5,Bluegrass
29,133,35,46,4,20,3761,5,Wheat
14,123,38,35,4,10,2675,3,Peanuts
11,146,36,31,4,11,4045,2,Barley
40,133,33,44,4,11,4695,5,Rice
25,144,30,34,6,29,2502,5,Rice
27,139,34,30,5,22,4100,1,Rice
40,123,38,41,4,14,3837,4,Cotton
27,144,38,43,4,18,2797,4,Barley
22,135,40,37,5,14,4078,5,Watermelon
17,129,32,26,5,23,2751,3,Barley
40,120,33,43,6,26,4613,5,Grain Sorghum
37,150,30,31,6,26,4895,1,Rice
